"RCP_SEQ","RCP_NM","VEGE_CLASS_SEQ","RCP_WAY2","RCP_PAT2","INFO_EMISSIONS","INFO_ENG","INFO_CAR","INFO_PRO","INFO_FAT","INFO_NA","HASH_TAG","ATT_FILE_NO_MAIN","ATT_FILE_NO_MK","RCP_PARTS_DTLS","MANUAL01","MANUAL02","MANUAL03","MANUAL04","MANUAL05","MANUAL06","MANUAL07","MANUAL08","MANUAL09","MANUAL10"
"497","브로콜리스프","2","끓이기","일품","1517.00","134.50","8.70","3.00","9.80","112.90","방울토마토","http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00347_2.png","http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00347_1.png","닭육수 200g, 양송이버섯 30g, 브로콜리 50g, 생크림 50g, 함초소금 1g
고명 : 바케트 20g
청양고추버터 : 청양고추 1개, 버터 15g, 방울토마토 20g, 설탕 15g","1. 닭육수에 브로콜리, 양송이를 넣고 끓인다.","2. 생크림을 넣고 갈아준 후 함초소금으로 간을
해준다.","3. 다진 청양고추와 버터를 섞어 청양고추버터를
만들어준다.","4. 토마토를 믹서에 갈아 설탕과 팬에 섞어서
토마토 시럽을 만들어준다.","5. 바게트에 토마토시럽을 발라주고 청양고추
버터를 발라 140도 오븐에서 2분간 구워준다.","6. 그릇에 브로콜리스프를 담아주고 청양고추
버터 바게트를 곁들여 완성한다.","","","",""
"498","초계샐러드","2","끓이기","반찬","1914.00","116.80","5.00","14.20","4.50","63.90","가습살","http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00348_2.png","http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00348_1.png","닭가슴살 250g, 달걀 60g, 오이 25g, 피망 25g, 파프리카 25g, 시금치 50g
소스 : 잣 20g, 식초 15g, 연겨자 15g, 설탕 15g, 참깨 15g, 흰후추 1g
고명 : 대추 10g","1. 닭가슴살은 데친 후 가늘게 찢어준다.","2. 달걀은 황백지단을 부쳐서 다이아몬드 모양
으로 잘라준다.","3. 오이, 피망, 파프리카도 마름모로 잘라준다.","4. 시금치는 살짝 데쳐서 수분을 짜서 한입
크기로 잘라준다.","5. 소스 재료를 믹서에 갈아 소스를 만들어준다.","6. 대추는 돌려깎기 해서 잘라주고 준비된 모든
재료를 섞어 샐러드를 만들고 대추채를 올려
완성한다.","","","",""
"499","토마토맑은장국","2","끓이기","국&찌개","1690.00","32.90","5.30","1.60","0.60","249.50","","http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00349_2.png","http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00349_1.png","방울토마토 100g, 일식 된장 25g, 닭육수 250g, 시금치 30g, 알배추 25g
고명 : 팽이버섯 5g","1. 방울토마토를 뜨거운 물에 넣어 껍질을 벗겨
주면 더욱 부드럽게 먹을 수 있다.","2. 시금치와 알배추는 한입 크기로 잘라준 뒤
뜨거운 물에 살짝 익혀준다.","3. 닭육수에 미소된장을 풀어 체에 걸러준다.","4. 체에 거른 된장국을 살짝 끓여준다.","5. 그릇에 토마토, 시금치, 알배추를 담아주고
끓여준 된장국을 붓는다. 고명으로 팽이버섯을
올려 완성한다.","","","","",""
"500","모듬옥수수","2","굽기","반찬","278.60","127.00","15.00","9.90","3.60","109.00","","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053723_1416213443714.jpg","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053723_1416213443714.jpg","옥수수 35g, 잣 3g, 청피망 25g, 당근 25g, 닭고기 35g, 식용유 1g, 물전분 6g, 소금 적당량","1. 청피망, 당근, 닭고기를 옥수수알 크기로 썬다.","2. 팬에 닭고기를 볶는다.","3. 2에 당근을 넣고 볶는다.","4. 3에 잣, 청피망, 옥수수를 넣고 볶는다.","5. 4에 간을 한다.","6. 물전분으로 농도를 맞춘다.","","","",""
"501","버섯 들깨탕","6","끓이기","국&찌개","79.50","124.00","17.30","3.90","5.30","32.00","","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053724_1416213444900.jpg","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053724_1416213444900.jpg","느타리버섯 15g, 생표고버섯 15g, 팽이버섯 15g, 새송이벗서 15g, 우엉 15g, 조랭이떡 15g, 들깨 8g, 물 50g, 들기름 2g, 소금적당량","1. 끓는 물에 데친 느타리 버섯을 손으로 찢고 생 표고버섯은 데쳐서 물기를 짠 뒤 채썬다.","2. 팽이버섯은 밑동을 제거한 뒤 반으로 자르고 새송이버섯은 팽이버섯 크기로 자른다.","3. 조랭이떡은 물에 휑구고 우엉은 껍질을 벗겨 길이로 3등분 하여 어슷하게 썬 뒤 냉수에 여러번 휑구고 물기를 뺀다.","4. 들깨는 분무기를 이용하여 물을 조금씩 넣으면서 곱게 갈아 체에 밭쳐 들깨 물을 준비하고 찌꺼기는 버린다.","5. 냄비에 들기름을 두르고 우엉을 볶은 뒤 들깨 물을 부어 끓이다가 조랭이 떡을 넣고 끓인다.","6. 5의 떡이 둥둥 떠오르면 버섯을 넣고 한소끔 끓인 뒤 소금으로 간을 한다.","","","",""
"502","산마드래싱과 실곤약 샐러드","2","기타","반찬","253.90","97.00","7.20","7.00","4.90","36.00","훈제가슴살","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053726_1416213446198.jpg","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053726_1416213446198.jpg","그린비타민 8g, 치커리 8g, 배 15g, 포도주스 10g, 훈제오리가슴살 30g, 실곤약 20g [산마드래싱] 산마 10g, 우유 10g, 레몬주스 3g, 오렌지주스 3g, 호두 3g, 소금 적당량","1. 비타민과 치커리는 한입 크기로 적당히 뜯어 찬물에 담궈 두었다가 먹기 전에 물기를 제거한다.","2. 믹서에 산마와 우유, 레몬주스, 오렌지주스, 호두, 소금을 넣고 곱게 갈아 드래싱을 만든다.","3. 배는 껍질을 제거하고 4등분 한 뒤 씨를 제거하고 4~5mm 정도의 두께로 슬라이스한다.","4. 팬에 포도주스를 붓고 슬라이스한 배를 넣어 배가 포도색이 되도록 졸인다.","5. 훈제오리가슴살을 얇게 슬라이스 한다.","6. 접시에 5와 4, 실곤약, 야채들을 보기 좋게 담고 드래싱을 끼얹는다.","","","",""
"503","산호두부","1","끓이기","반찬","119.40","89.40","8.50","7.00","3.40","55.00","","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053727_1416213447278.jpg","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053727_1416213447278.jpg","두부 35g, 돼지고기다진것 15g, 당근다진것 10g, 고추기름 2g, 완두콩 10g, 파 5g, 생강 3g, 물전분 10g, 소금 적당량","1. 두부를 1cm 주사위모양으로 자른다.","2. 1을 뜨거운 물에 넣었다가 꺼내 물기를 제거한다.","3. 당근과 돼지고기를 잘게 다진다.","4. 팬에 고추기름을 두른 뒤 3을 넣고 볶는다.","5. 파, 다진생강, 물, 완두콩, 소금, 두부를 넣고 간이 들도록 졸인다.","6. 물 전분을 넣어 소스의 농도를 맞춘다.","","","",""
"504","섭산삼","6","튀기기","후식","134.60","233.00","26.90","4.70","8.20","4.00","","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053728_1416213448480.jpg","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053728_1416213448480.jpg","더덕 40g, 젖은 찹쌀가루 30g, 가루녹차 2g, 백년초 가루 2g, 설탕 1g, 꿀 5g, 소금 적당량, 튀김기름 8g","1. 더덕은 껍질을 벗기고 0.3cm 두께로 편 썰어 소금물에 담궈 쓴 맛을 뺀 뒤 면보에 옮겨 밀대로 밀거나 두들겨 얇게 편다.","2. 찹쌀가루는 소금을 넣고 혼합하여 체에 내린다.","3. 2를 3등분 하여 가루녹차와 백년초가루를 각각 섞는다.","4. 3에 더덕을 각각 넣고 앞, 뒤로 꼭꼭 눌러 찹쌀가루를 묻힌다.","5. 170℃의 기름에 2번 튀긴 뒤 기름을 빼고 뜨거울 때 설탕을 약간 뿌린다.","6. 꿀을 곁들여 찍어 먹는다.","","","",""
"505","시금치 돼지고기 볶음","1","볶기","반찬","29.90","105.00","7.40","9.20","4.50","284.00","","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053729_1416213449527.jpg","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053729_1416213449527.jpg","돼지고기살코기 40g, 물전분 10g, 소금 적당량, 시금치 25g, 부추 10g, 간장 5g, 파 5g, 생강 3g, 식용유 2g","1. 돼지고기는 채 썬 뒤 소금, 물전분을 넣고 양념한다.","2. 양념한 고기를 기름 두른 팬에 볶으면서 달라붙지 않도록 저어준다.","3. 시금치와 부추를 4~5cm 가량으로 썬다.","4. 가열된 팬에 기름을 두르고 파, 생강, 팔각을 넣어 향을 낸다.","5. 4에 2와 간장을 넣고 볶는다.","6. 물 전분을 넣어 농도를 맞춘 뒤 마직막으로 부추, 시금치를 넣는다.","","","",""
"506","발사믹과 로즈마리로 향을 낸 오븐구이 야채","6","굽기","반찬","57.00","136.00","34.30","1.90","0.60","52.00","발사믹","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053730_1416213450573.jpg","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053730_1416213450573.jpg","단호박 40g, 당근 40g, 비트 40g, 고구마 40g, 꿀 8g, 발사믹식초 30g, 로즈마리 2g, 소금적당량, 후추 적당량","1. 단호박, 비트, 고구마, 당근은 껍질을 벗긴다.","2. 1을 자연스럽게 2~2.5cm 두께로 썬다.","3. 볼에 2와 발사믹 식초, 꿀, 로즈마리 잎을 넣고 버무린다.","4. 소금, 후추로 간을 한다.","5. 150℃의 예열된 오븐에서 익을 때까지 굽는다.","6. 중간에 뒤집어 주어 고루 익히도록 한다.","","","",""
"507","종이에 싸서 구운 도미(파필로테)","2","굽기","반찬","34.54","104.00","2.20","13.80","4.50","51.00","","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053731_1416213451353.jpg","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053731_1416213451353.jpg","도미살 65g, 소금 적당량, 후추 적당량, 샐러리 채친것 3g, 당근 채친것 3g, 대파채친것 3g, 양파채친것 6g, 피망채친것 5g, 브러컬리 5g, 레몬제스트 1g, 팽이버섯 3g, 버터 2g, 유산지 [허브버터] 버터 2g, 파마산치즈 1g, 통후추 약간, 오레가노 0.2g, 마늘 0.3g, 양파 0.5g","1. 도미살에 소금, 후추로 밑간한다.","2. 셀러리, 당근, 대파, 양파, 피망은 채 썰고 브로컬리는 작은 송이로 자르고 레몬 껍질은 얇게 제스트하고 팽이버섯은 밑동을 자른다.","3. 유산지는 반을 접었다가 편 뒤 안쪽에 부드러운 버터를 바른다.","4. 4의 버터를 바른 한 쪽 면에 셀러리, 당근, 대파, 팽이버섯, 양파, 피망, 레몬 제스트를 준비된 분량의 반 정도 놓고 밑간한 도미살을 올린다.","5. 다시 남은 야채들을 도미위에 올리고 유산지의 한 면으로 야채를 덮어주고, 모서리의 뚫린 곳을 접어 봉해준다.","6. 160℃로 예열된 오븐에서 익혀준다.","","","",""
"508","토마토 쇠고기","1","굽기","반찬","179.50","83.00","11.50","3.80","2.50","169.00","","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053732_1416213452462.jpg","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053732_1416213452462.jpg","쇠고기살코기 20g, 토마토 40g, 간장 3g, 설탕 10g, 식물성기름 1g, 올리브오일 1g, 닭육수 15g","1. 깨끗하게 손질한 소고기를 냄비에 넣고 물, 파, 생강을 넣고 끓으면 젓가락으로 저어준 뒤 꺼내 식힌다.","2. 씻은 토마토를 데쳐 주사위모양으로 자른 뒤 다른 팬에 넣고 설탕과 잘 섞어 익힌다.","3. 식힌 소고기를 2cm 가량으로 썰고 팬에 기름을 둘러 팔각과 함께 진황색이 되도록 볶는다.","4. 파, 생강, 간장, 남은 설탕, 육수를 넣은 팬에 진황색이 된 소고기를 넣고 약 5분간 더 끓인다.","5. 2를 팬에 넣어 2~3분정도 더 끓인 뒤 4를 넣고 농도가 짙어지도록 한다.","6. 물 전분으로 농도를 맞추고 올리브오일을 뿌려 향이 나게 한다.","7. 물 전분으로 농도를 맞추고 올리브오일을 뿌려 향이 나게 한다.","","",""
"509","무염 겉절이","6","기타","반찬","36.80","11.96","2.53","0.45","0.01","1.67","알배추","http://www.foodsafetykorea.go.kr/uploadimg/20190409/20190409042946_1554794986601.jpg","http://www.foodsafetykorea.go.kr/uploadimg/20190409/20190409042948_1554794988376.jpg","알배추 50g, 적양파 15g, 대파 5g, 풋고추 3g, 마늘 5g, 무청 3g, 고춧가루 5g, 매실액 2g, 식초 5g, 사과 10g","1. 알배추는 세척 후 먹기 좋은 크기로 잘라 물에 담군다.","2. 대파와 풋고추는 어슷썰고 양파는 굵게 채 썬다.","3. 마늘은 곱게 다지고 사과는 믹서에 간다.","4. 사과즙, 다진마늘, 고춧가루, 매실액, 식초를 섞어 겉절이 양념을 만든다.","5. 물에 담궈뒀던 알배추를 건져 물기를 뺀 뒤 넓은 볼에 담는다.","6. 알배추와 양파, 대파, 풋고추, 무청을 겉절이 양념에 골고루 버무린다.","","","",""
"510","닭가슴살호두크로켓","2","튀기기","반찬","929.28","623.50","50.80","43.80","27.20","312.90","","http://www.foodsafetykorea.go.kr/uploadimg/20200313/20200313023223_1584077543747.jpg","http://www.foodsafetykorea.go.kr/uploadimg/20200313/20200313023242_1584077562984.JPG","닭가슴살 80g, 두부 20g, 양파 12.5g, 대파 5g, 호두 5g, 땅콩 2.5g, 마늘 2g, 생강 0.5g, 후추 0.3g, 설탕 3.8g, 식초 2.5g, 계란 65g(1.5개), 쌀가루 7g, 빵가루 25g, 순무 24g, 두유 45ml, 홀그레인 2.5g, 땅콩버터 5g, 레몬 7g, 파슬리 0.5g","1. 양파, 대파, 호두, 닭가슴살은 잘게 다진다.","2. ①에 물기를 제거한 두부와 생강, 마늘, 후추를 섞어 반죽한다.","3. 반죽을 쌀가루, 계란물, 빵가루 순으로 묻히고 튀겨 크로켓을 만든다.","4. 믹서에 두부, 두유를 넣고 갈아 두부 마요네즈를 만든다.","5. 순무와 양파는 다지고, 계란은 삶아 다져 준비한다.","6. 두부 마요네즈에 ⑤의 재료와 설탕, 레몬, 식초, 땅콩버터, 후추, 홀그레인, 파슬리가루를 넣어 타르소스를 만든다.","","","",""
"511","누룽지상추샐러드&유자드레싱","6","기타","반찬","3050.35","105.56","19.51","0.67","2.75","8.32","","http://www.foodsafetykorea.go.kr/uploadimg/20210128/20210128055656_1611824216006.jpg","http://www.foodsafetykorea.go.kr/uploadimg/20210128/20210128055721_1611824241634.JPG","누룽지 5g, 로메인상추 7.5g, 파프리카(빨간색/노란색) 12.5g, 유자청 7.5g, 식용유 500g, 올리브유 3.5g, 레몬즙 1g, 식초 1g, 후추 0.1g","1. 로메인 상추를 한 입 크기로 썬다.","2. 파프리카는 사방 0.3cm 크기로 썬다.","3. 누룽지를 튀긴 후 으깬다.","4. 유자청, 레몬즙, 올리브유, 식초, 후추를 섞어 드레싱을 만든다.","5. 로메인 상추 위에 파프리카와 튀긴 누룽지를 고명으로 올린다.","6. 드레싱을 얹어 낸다.","","","",""
"512","견과류 미숫가루 빵","4","기타","기타","1529.00","353.00","44.89","12.56","13.64","5.64","","http://www.foodsafetykorea.go.kr/uploadimg/20210129/20210129052423_1611908663012.jpg","http://www.foodsafetykorea.go.kr/uploadimg/20210129/20210129052449_1611908689164.jpg","(반죽재료) 강력분60g, 박력분 30g, 미숫가루 150g, 이스트 4g, 소금 5g, 달걀 50g(1개) , 버터 30g, 아몬드20g, 해바라기씨 30g, 호박씨 10g, 건포도 20g 
(아몬드우유) 아몬드 30g, 우유 180g 
(토핑) 버터10g, 아몬드 슬라이스10g, 미숫가루10g","1. (아몬드우유) 믹서기에 아몬드와 우유를 갈아 아몬드 우유를 만든다.","2. 밀가루, 미숫가루, 이스트, 소금, 달걀, 아몬드 우유를 넣어 손으로 반죽하다가 아몬드, 해바라기씨, 호박씨 넣고 반죽한다.","3. ②이 한 덩어리가 되면 무염버터를 넣어 반죽을 하고 마지막으로 건포도를 넣어 섞는다.","4. """"크기가 2.5배가 될 때까지 1차 발효하고 반죽을 접어 공기를 빼고 3등분으로 나눠 둥글리기 후 10분 정도 중간 발효한다.
★반죽이 달라붙으면 덧가루를 뿌리면서 작업하면 수월해요.""""","5. 발효가 끝나면 다시 둥글리기를 해주고 반죽의 매끄러운 면이 위로 가도록 팬닝 후 40~50분 2차 발효 시킨다.","6. """"180℃ 오븐에서 20~25분 동안 구워서 완성시킨 뒤 위에 버터를 바르고 아몬드 슬라이스와 미숫가루로 토핑한다.
★ 버터는 살짝 녹여 사용하세요.""""","","","",""
"513","돼지 함초 덮밥","1","기타","일품","1709.40","816.80","83.60","43.30","34.40","498.90","","http://www.foodsafetykorea.go.kr/uploadimg/20210310/20210310093936_1615336776669.jpg","http://www.foodsafetykorea.go.kr/uploadimg/20210310/20210310094001_1615336801489.JPG","양파(10g), 쪽파(3g), 레몬(3g), 무순(20개), 멸치(7~8마리), 건함초(3g), 다시마(5g), 밥(210g), 꽈리고추(5개), 돼지고기(등심, 120g), 수란(1개), 김가루(2g), 고추냉이(2g), 마늘(3쪽), 생강(1톨), 건고추(3개), 팔각(1개), 참기름(1T), 후춧가루(⅓Ts), 식용유(20ml)","1. 양파는 채 썰고, 쪽파는 송송 썰고, 레몬은 슬라이스하고, 마늘은 으깨고, 생강은 납작 썰고, 건고추는 굵게 부순다.","2. 중간 불로 달군 마른 팬에 멸치를 넣어 3분간 볶아 수분을 날린 뒤 건함초, 다시마와 함께 믹서에 넣어 곱게 간다.","3. 중간 불로 달군 팬에 식용유(20㎖)와 손질한 향신료를 넣고 3분간 볶아 향유를 만든다.","4. 향유에 참기름과 후춧가루, 곱게 간 멸치가루를 넣어 섞은 뒤 밥에 넣어 고루 섞는다.","5. 중간 불로 달군 팬에 남겨둔 향유(10g)를 두르고 꽈리고추와 돼지고기를 넣어 9분간 구운 뒤 돼지고기는 얇게 한입 크기로 썬다.","6. 그릇에 비빔밥, 구운 돼지고기와 꽈리고추, 손질한 양파, 쪽파, 레몬, 김가루, 고추냉이, 무순, 수란을 올린다.","","","",""
"514","호두 사과 샐러드","4","굽기","후식","44.20","110.00","13.70","1.20","6.50","31.00","","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053733_1416213453570.jpg","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053733_1416213453570.jpg","사과 60g, 샐러리 5g, 마요네즈 4g, 레몬주스 1g, 식초 1g, 호두 5g, 건포도 4g, 소금적당량","1. 사과는 4등분하고 씨를 제거한다.","2. 1을 다시 4등분 한다.","3. 셀러리는 껍질을 제거하고 슬라이스 한다.","4. 마요네즈, 레몬주스, 식초, 소금을 섞어 드래싱을 만든다.","5. 볼에 사과, 셀러리, 호두, 건포도를 넣는다.","6. 5에 만들어 놓은 드래싱을 넣어 고루 섞는다.","","","",""
"515","고구마란","6","기타","후식","26.50","166.00","36.60","2.90","2.70","13.00","","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053734_1416213454820.jpg","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053734_1416213454820.jpg","고구마 70g, 꿀 10g, 계피가루 2g, 대추 5g, 호박씨 5g","1. 고구마는 껍질을 벗긴 후 큼직하게 썰어 찜통에 찐다.","2. 다 쪄진 고구마를 체에 곱게 내린다.","3. 2에 꿀과 계피가루를 넣어 섞는다.","4. 대추는 씨를 제거한 뒤 0.5mm  마름모꼴로 자른다.","5. 고구마를 조금씩 떼어 둥글게 빚는다.","6. 호박씨와 썰어둔 대추로 꼭지를 만든다.","","","",""
"516","과일 파이","5","굽기","후식","98.80","182.00","38.70","2.80","2.40","29.00","","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053735_1416213455900.jpg","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053735_1416213455900.jpg","오렌지 25g, 사과 25g, 설탕 15g, 물전분 4g, 버터 1g, 식빵 30g","1. 오렌지는 껍질을 벗긴 뒤 잘게 썰고 사과는 껍질 째 깨끗하게 씻어서 잘게 썬다.","2. 냄비에 오렌지와 사과를 각각 넣고 설탕을 넣어 중간 불에서 타지 않도록 졸인다.","3. 졸이는 도중에 과일에서 나온 물로 질척해지면 물전분을 넣어 농도를 맞춘 뒤 차게 식힌다.","4. 식빵은 가장자리를 잘라낸 다음 밀대로 납작하게 밀어 버터를 바른다.","5. 졸인 과일을 얹고 돌돌 만 다음 양끝을 포크로 눌러 붙인다.","6. 식빵의 표면에 버터를 얇게 바르고 170℃로 예열된 오븐에 넣어 노릇하게 굽는다.","","","",""
"517","수삼당근정과","6","기타","후식","31.00","110.00","28.30","2.10","0.20","23.00","","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053736_1416213456837.jpg","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053736_1416213456837.jpg","당근 50g, 수삼 30g, 꿀 20g, 물 10g, 계피가루 2g","1. 당근과 수삼을 깨끗하게 씻는다.","2. 1을 믹서에 넣고 곱게 간다.","3. 냄비에 2를 붓고 꿀을 넣어 졸인다.","4. 계피가루를 섞는다.","5. 빵이나 크래커를 준비한다.","6. 5의 위에 수삼 당근 정과를 올린다.","","","",""
"518","식혜 팥빙수","6","기타","후식","78.50","136.00","33.00","3.60","0.00","5.00","식혜","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053737_1416213457776.jpg","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053737_1416213457776.jpg","팥 10g, 찹쌀가루 15g, 쑥가루 5g, 물 10g, 식혜 110g, 소금 적당량","1. 팥을 깨끗하게 씻어 물을 부어 끓인 뒤 물을 버리고 다시 찬물을 부어 삶는다.","2. 부드럽게 삶아진 팥의 물기를 제거한 후 으깬다.","3. 찹쌀가루를 둘로 나누어 하나는 쑥가루를 넣고 하나는 맨 찹쌀가루에 뜨거운 물로 익반죽 하여 경단을 만든 뒤 끓는 물에 익힌다.","4. 익힌 경단을 바로 차가운 얼음물에 담궈 식힌다.","5. 식혜에 으깬 팥을 넣고 소금 간을 한 뒤 그릇에 담아 냉동실에 얼리면서 1시간 마다 공기가 들어가도록 포크로 저어준다.","6. 샤베트가 부드럽게 얼면 준비한 그릇에 경단과 함께 담는다.","","","",""
"519","야채칩","6","튀기기","후식","38.00","72.00","17.70","1.80","0.00","17.00","","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053738_1416213458618.jpg","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053738_1416213458618.jpg","연근 20g, 고구마 20g, 감자 20g, 단호박 20g, 당근 20g, 소금적당량","1. 준비된 야채들을 깨끗이 씻는다.","2. 연근, 고구마, 감자, 단호박, 당근은 0.2cm 두께로 썬다.","3. 연근, 고구마, 감자는 물에 담궈 둔다.","4. 오븐 팬에 썰어 놓은 재료를 넣고 소량의 소금을 뿌린다.","5. 130~150℃로 예열한 오븐에 4를 굽는다.","6. 구워진 야채칩을 식혀 담는다.","","","",""
"520","잡곡강정","6","기타","후식","135.60","153.00","29.20","5.50","2.40","10.00","","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053739_1416213459635.jpg","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053739_1416213459635.jpg","검은콩튀밥 10g, 쌀튀밥 10g, 메닐튀밥 10g, 물엿 6g, 설탕 6g, 물 3g","1. 검은콩, 쌀, 메밀의 튀밥을 준비한다.","2. 물엿에 설탕, 물을 넣고 약한불에서 투명하게 녹인다.","3. 오목한 팬에 2를 넣는다.","4. 3의 팬에 1을 넣고 시럽에서 실이 생길 때 까지 불 위에서 젓는다.","5. 강정이 굳기 전에 타원형 모양으로 빚거나 밀대로 밀어 편다.","6. 밀어 편 강정을 마름모 모양으로 자른다.","","","",""
"521","잣 호두 강정","6","기타","후식","11.00","94.00","7.90","2.10","6.80","1.00","","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053740_1416213460828.jpg","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053740_1416213460828.jpg","잣 3g, 호두 3g, 대추 3g, 통깨 5g [시럽] 물엿 3g, 설탕 2g","1. 잣은 고깔을 떼어낸 뒤 젖은 행주로 문질러 먼지를 닦는다.","2. 호두는 미지근한 물에 불려 껍질을 제거한다.","3. 대추는 얇게 돌려 깎아 곱게 다진다.","4. 물엿과 설탕을 냄비에 담고 물을 조금 넣은 뒤 약한불에서 투명한 시럽으로 만든다.","5. 잣, 호두, 통깨에 다진 대추와 시럽을 넣고 덩어리지게 섞는다.","6. 살짝 뜨거울 때 손으로 동그랗게 뭉쳐준다.","","","",""
"522","현미 크레이프","5","기타","후식","184.00","259.00","56.20","7.00","0.70","42.00","","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053741_1416213461876.jpg","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053741_1416213461876.jpg","현미가루 10g, 밀가루 20g, 우유 30g, 참기름적당량, 소금적당량 [팥소]팥 15g, 설탕 10g [당근조림] 당근 20g, 설탕 10g, 물 5g","1. 팥을 깨끗하게 씻어 끓인 뒤 물을 따라 버리고 다시 물을 부어 팥이 무르게 삶는다.","2. 당근을 1cm 주사위 모양으로 자른다.","3. 1, 2에 각각 설탕을 넣고 졸인다.","4. 볼에 현미가루, 밀가루, 우유를 넣고 덩어리가 생기지 않도록 잘 갠 뒤 30분간 둔다.","5. 가열된 팬에 참기름을 두르고 약한 불에서 4를 한 국자 정도 떠서 둥글게 부친 뒤 식힌다.","6. 크레이프를 펴고 각각 팥소와 당근조림을 각각 얹은 후 둥글게 만다.","","","",""
"523","감자 주먹밥","3","끓이기","밥","360.50","240.00","41.90","8.90","5.60","67.00","","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053743_1416213463031.jpg","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053743_1416213463031.jpg","감자 80g, 밥 80g, 당근다진것 20g, 시금치 20g, 잔멸치 5g, 삶은 달걀 노른자 5g, 검은깨 1g, 흰깨 2g[밥양념] 참기름 2g, 소금적당량, 흰 후춧가루 적당량","1. 감자를 깨끗하게 씻어 찜통에 찐 뒤 껍질을 벗기고 체에 내린다.","2. 기름 두른 팬에 다진 당근을 볶으면서 소금 간을 하고 시금치는 손질하여 데친 뒤 냉수에 헹궈 물기를 짜고 잘게 다진다.","3. 잔멸치는 팬에 살짝 볶아서 굵직하게 다진다.","4. 볼에 1, 2, 3, 4를 넣고 소금과 흰 후춧가루, 참기름을 넣고 섞는다.","5. 삶은 달걀노른자를 체에 내린다.","6. 4를 원형 또는 삼각형으로 만들어 달걀 노른자와 검은깨, 흰깨에 골고루 굴려 묻힌다.","","","",""
"524","고기완두조림","1","끓이기","반찬","61.70","183.00","18.90","11.40","7.00","45.00","","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053744_1416213464068.jpg","http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053744_1416213464068.jpg","돼지고기살코기 40g, 완두콩 30g, 물 5g, 육수 10g, 설탕 7g, 소금적당량, 전분 5g, 식용유 3g","1. 돼지고기는 손질한 뒤 완두콩 크기로 썬다.","2. 완두콩을 믹서에 곱게 간다.","3. 기름을 두른 팬에 1을 넣고 달라붙지 않게 볶는다.","4. 2에 3과 설탕을 넣고 끓인다.","5. 4에 소금으로 간을 한다.","6. 물전분으로 소스의 농도를 맞춘다.","","","",""
